Iteration, RunTime
1, 390
2, 249
3, 266
4, 234
5, 218
6, 218
7, 219
8, 203
9, 202
10, 234
11, 219
12, 203
13, 218
14, 203
15, 218
16, 203
17, 218
18, 203
19, 219
20, 202
21, 219
22, 203
23, 218
24, 203
25, 218
26, 203
27, 234
28, 218
29, 219
30, 218
31, 203
32, 218
33, 234
34, 203
35, 219
36, 218
37, 234
38, 203
39, 203
40, 218
41, 203
42, 218
43, 203
44, 203
45, 234
46, 203
47, 202
48, 203
49, 203
50, 218
51, 219
52, 234
53, 203
54, 312
55, 202
56, 203
57, 219
58, 202
59, 219
60, 218
61, 203
62, 203
63, 203
64, 218
65, 203
66, 203
67, 202
68, 219
69, 203
70, 218
71, 203
72, 203
73, 202
74, 203
75, 203
76, 218
77, 203
78, 234
79, 234
80, 218
81, 219
82, 234
83, 202
84, 234
85, 219
86, 203
87, 234
88, 202
89, 203
90, 234
91, 203
92, 203
93, 218
94, 203
95, 218
96, 203
97, 203
98, 203
99, 218
100, 203
