MergeSort
Iteration, RunTime
1, 889
2, 484
3, 406
4, 406
5, 390
6, 406
7, 374
8, 390
9, 359
10, 406
11, 374
12, 374
13, 375
14, 374
15, 468
16, 375
17, 374
18, 374
19, 375
20, 374
21, 359
22, 374
23, 375
24, 359
25, 359
26, 374
27, 359
28, 375
29, 421
30, 437
31, 374
32, 437
33, 374
34, 375
35, 358
36, 375
37, 359
38, 390
39, 358
40, 375
41, 359
42, 358
43, 468
44, 375
45, 374
46, 421
47, 359
48, 375
49, 358
50, 375
51, 359
52, 374
53, 359
54, 374
55, 390
56, 359
57, 437
58, 390
59, 359
60, 405
61, 375
62, 358
63, 375
64, 359
65, 358
66, 376
67, 359
68, 375
69, 359
70, 374
71, 390
72, 421
73, 375
74, 390
75, 374
76, 375
77, 358
78, 375
79, 359
80, 374
81, 374
82, 359
83, 359
84, 374
85, 390
86, 390
87, 375
88, 405
89, 359
90, 375
91, 358
92, 375
93, 359
94, 358
95, 359
96, 375
97, 358
98, 359
99, 375
100, 499
